Episode, Steps, Reward, Time (in milliseconds)
395, 441, -47.80000000000035, 1340
396, 430, -45.80000000000034, 1314
397, 441, -44.90000000000037, 1472
398, 441, -75.89999999999962, 1460
399, 441, -44.000000000000355, 1359
400, 441, -46.900000000000354, 1345
401, 441, -44.90000000000037, 1368
402, 441, -44.000000000000355, 1491
403, 441, -44.000000000000355, 1375
404, 441, -93.29999999999924, 1478
405, 441, -44.000000000000355, 1344
406, 441, -44.000000000000355, 1366
407, 441, -44.000000000000355, 1376
408, 441, -44.900000000000354, 1337
409, 441, -44.000000000000355, 1332
410, 441, -52.7000000000004, 1396
411, 441, -44.000000000000355, 1398
412, 441, -45.80000000000039, 1462
413, 441, -44.000000000000355, 1400
414, 441, -46.700000000000394, 1491
415, 441, -44.000000000000355, 1360
416, 441, -44.000000000000355, 1373
417, 441, -45.80000000000038, 1329
418, 441, -44.000000000000355, 1354
419, 441, -53.00000000000048, 1373
420, 441, -44.000000000000355, 1424
421, 441, -44.000000000000355, 1377
422, 333, -34.1000000000002, 1498
423, 441, -44.000000000000355, 1399
424, 256, -27.300000000000125, 1397
425, 441, -44.000000000000355, 1472
426, 441, -45.80000000000038, 1499
427, 441, -46.900000000000354, 1440
428, 441, -47.80000000000042, 1500
429, 441, -44.90000000000037, 1500
430, 441, -46.9000000000004, 1434
431, 441, -44.000000000000355, 1468
432, 318, -38.00000000000024, 1415
433, 441, -46.900000000000404, 1520
434, 441, -44.90000000000037, 1412
435, 441, -44.000000000000355, 1490
436, 441, -44.000000000000355, 1420
437, 441, -48.5000000000004, 1511
438, 274, -30.20000000000017, 1478
439, 441, -45.900000000000354, 1432
440, 441, -45.900000000000354, 1597
441, 441, -44.90000000000037, 1495
442, 441, -48.70000000000035, 1412
443, 441, -49.40000000000039, 1434
444, 441, -44.90000000000037, 1421
445, 441, -47.60000000000042, 1460
446, 441, -44.000000000000355, 1438
447, 441, -78.79999999999934, 1550
448, 441, -44.000000000000355, 1550
449, 441, -44.000000000000355, 1475
450, 408, -78.3999999999995, 1425
451, 441, -49.40000000000044, 1448
452, 441, -44.90000000000037, 1420
453, 441, -44.90000000000037, 1440
454, 441, -44.90000000000037, 1411
455, 441, -47.80000000000035, 1404
456, 441, -47.70000000000035, 1436
457, 441, -44.000000000000355, 1399
458, 441, -44.000000000000355, 1448
459, 441, -52.70000000000035, 1418
460, 441, -44.000000000000355, 1474
461, 441, -44.000000000000355, 1450
462, 441, -44.90000000000037, 1435
463, 441, -44.90000000000037, 1407
464, 441, -45.90000000000039, 1467
465, 398, -42.50000000000029, 1426
466, 441, -44.000000000000355, 1395
467, 441, -44.000000000000355, 1435
468, 441, -44.000000000000355, 1467
469, 441, -49.80000000000035, 1438
470, 278, -29.600000000000122, 1440
471, 175, -17.399999999999977, 1446
472, 441, -44.000000000000355, 1422
473, 441, -44.000000000000355, 1418
474, 441, -58.50000000000035, 1462
475, 441, -44.000000000000355, 1424
476, 441, -44.000000000000355, 1443
477, 441, -46.900000000000354, 1413
478, 441, -44.000000000000355, 1472
479, 441, -44.000000000000355, 1433
480, 441, -44.000000000000355, 1412
481, 389, -42.60000000000028, 1458
482, 441, -46.900000000000354, 1403
483, 313, -34.800000000000225, 1492
484, 441, -44.000000000000355, 1428
485, 441, -44.000000000000355, 1439
486, 304, -31.20000000000016, 1466
487, 441, -44.000000000000355, 1438
488, 441, -44.90000000000037, 1383
489, 441, -44.90000000000037, 1439
490, 441, -44.90000000000037, 1440
491, 441, -55.70000000000056, 1441
492, 441, -44.000000000000355, 1447
493, 441, -44.000000000000355, 1464
494, 441, -45.80000000000038, 1422
495, 441, -44.000000000000355, 1450
496, 441, -46.900000000000404, 1471
497, 441, -44.000000000000355, 1449
498, 238, -24.60000000000008, 1489
499, 441, -44.000000000000355, 1436
500, 441, -44.000000000000355, 1439
501, 384, -45.900000000000276, 1463
502, 283, -46.500000000000234, 1442
503, 147, -16.39999999999997, 1532
504, 168, -20.500000000000018, 1494
505, 441, -44.90000000000037, 1423
506, 441, -44.000000000000355, 1451
507, 130, -15.799999999999963, 1452
508, 441, -44.000000000000355, 1450
509, 441, -44.90000000000037, 1501
510, 441, -44.000000000000355, 1462
